sweep,seed,n,m,weight_decay,nu2,eta,teacher_kind,teacher_norm,epsilon,c,t1,t2,grokking_delay,t2_over_t1_plus_one,initial_training_loss,initial_population_loss,training_loss_after_fit,population_loss_after_fit,population_loss_at_t2,population_loss_late,late_epoch,limiting_training_loss,limiting_population_loss,equation8_t1_upper,equation8_t2_lower,equation8_t1_pass,equation8_t2_pass,training_monotone_to_crossing,population_monotone_to_crossing,lambda_min_positive_phi_t_phi,lambda_max_phi_t_phi,gd_condition_rhs,gd_condition_pass,spectral_orthogonality_error,teacher_sparsity,theta_star_norm
weight_decay,5,100,1000,0.0001,1,1,random,1,0.01,0.01,229,22492,22263,97.79130434782608,0.6155542994036665,0.9714525253379724,0.009981244514914396,0.8107134520213468,0.009999510499678463,0.0008956168330967432,224920,5.313656526299258e-08,0.0008956168336316869,1452.6637163795704,11982.02043886351,True,True,True,True,0.48710457330950774,1.7240474215331025,201.1649165370641,True,3.1086244689504383e-15,,
sample_size,0,25,1000,0.0001,1,1,random,1,0.01,0.01,45,23203,23158,504.4130434782609,0.2968044121349687,0.9698206157782323,0.009332029361851197,0.945931752868252,0.009998504001545446,0.0009796031705498116,232030,2.424270364898248e-09,0.0009796031707184306,242.37564042430583,12378.271466950326,True,True,True,True,0.7298579371368988,1.3169248918571481,34.1363133138636,True,1.9984014443252818e-15,,
sample_size,1,25,1000,0.0001,1,1,random,1,0.01,0.01,45,23682,23637,514.8260869565217,0.31217047795844644,1.0348165048144988,0.009467006955210132,1.00962696270717,0.00999900797990022,0.0009751908075671591,236820,3.24949500003745e-09,0.0009751908075042488,251.32304565715432,12378.271466950326,True,True,True,True,0.7038741093948018,1.3357660608985849,35.39201064634034,True,2.220446049250313e-15,,
sample_size,2,25,1000,0.0001,1,1,random,1,0.01,0.01,48,23498,23450,479.55102040816325,0.47192851646369915,1.0247969538614696,0.009957379931244667,0.9915854491299757,0.009998955200876576,0.0009844410849803827,234980,2.206564974143273e-09,0.0009844410850385192,252.0159211216724,12378.271466950326,True,True,True,True,0.7019389257034757,1.315263351737427,35.48923701942533,True,3.552713678800501e-15,,
sample_size,3,25,1000,0.0001,1,1,random,1,0.01,0.01,46,23701,23655,504.27659574468083,0.45329305116686924,1.045323141698725,0.009442610310829375,1.0143212948750846,0.00999969098095965,0.0009791356807462217,237010,2.8777604170478416e-09,0.0009791356806921252,255.19693140880932,12378.271466950326,True,True,True,True,0.693189310528724,1.3664967820414997,35.935581619041976,True,1.9984014443252818e-15,,
sample_size,4,25,1000,0.0001,1,1,random,1,0.01,0.01,53,23121,23068,428.1666666666667,0.7836609912361652,0.9573775259888901,0.009390000724290975,0.9100045878523413,0.009999023312476159,0.0009643110637161933,231210,4.325399421295275e-09,0.0009643110636898294,243.45324229889474,12378.271466950326,True,True,True,True,0.726627352595015,1.2806679762143667,34.28756294908326,True,1.7763568394002505e-15,,
sample_size,5,25,1000,0.0001,1,1,random,1,0.01,0.01,49,23052,23003,461.04,0.6478951858127495,0.9714525253379723,0.00982962967767033,0.9316066319693382,0.009998750213656591,0.0009722170172716075,230520,3.3689958085050034e-09,0.0009722170176153906,237.9101410145036,12378.271466950326,True,True,True,True,0.7435571437937752,1.2786495523696884,33.50949750695034,True,2.1094237467877974e-15,,
sample_size,0,50,1000,0.0001,1,1,random,1,0.01,0.01,105,22960,22855,216.60377358490567,0.5727337010851666,0.9698206157782323,0.009711442364122809,0.8944554051355577,0.009999762475852889,0.0009613122632354198,229600,1.1006549549029138e-08,0.0009613122634651215,583.2144483338986,12249.6799501025,True,True,True,True,0.6066371827298795,1.443019826838409,81.74780966853311,True,1.7763568394002505e-15,,
sample_size,1,50,1000,0.0001,1,1,random,1,0.01,0.01,102,23513,23411,228.28155339805826,0.3840936199472674,1.0348165048144988,0.009985136690433424,0.973743532240666,0.009999627880437576,0.0009518334424412855,235130,1.2612973869297767e-08,0.0009518334424032678,578.7971135066526,12249.6799501025,True,True,True,True,0.6112669908133027,1.4931924940921795,81.1336656763228,True,2.6645352591003757e-15,,
sample_size,2,50,1000,0.0001,1,1,random,1,0.01,0.01,101,23354,23253,228.9607843137255,0.47895060175841947,1.0247969538614696,0.009851622018288549,0.9578761084881515,0.009999700534599788,0.0009595778084380214,233540,1.0888460404960952e-08,0.0009595778085139605,568.1962046622414,12249.6799501025,True,True,True,True,0.6226714767919822,1.4754465601942577,79.6595063639806,True,2.4424906541753444e-15,,
