seed,epoch,training_loss,population_loss,regularized_objective,t1,t2
0,0,0.5538647184938581,0.9698206157782322,0.6024004917567161,208,22698
0,1,0.5415569177537448,0.9674237056221137,0.5899725657845131,208,22698
0,2,0.5295405209777105,0.965076210877976,0.5778385169992601,208,22698
0,3,0.5178082622845444,0.9627769634145118,0.5659910210898026,208,22698
0,4,0.5063530646342059,0.9605248242060187,0.5544229440416647,208,22698
0,5,0.4951680347542905,0.9583186825763608,0.5431273370257111,208,22698
0,6,0.4842464582064933,0.9561574554632319,0.5320974314278218,208,22698
0,7,0.4735817945891232,0.9540400867021644,0.5213266340156044,208,22698
0,8,0.4631676728718307,0.9519655463297348,0.51080852223828,208,22698
0,9,0.45299788685882875,0.9499328299054403,0.500536839655996,208,22698
0,10,0.44306639077698456,0.9479409578517319,0.49050549149491746,208,22698
0,11,0.433367294985273,0.9459889748117031,0.4807085403245625,208,22698
0,12,0.42389486180217306,0.9440759490239504,0.4711402018539402,208,22698
0,13,0.41464350144769824,0.9422009717141323,0.4617948408431567,208,22698
0,14,0.4056077680968343,0.9403631565027692,0.45266696712724097,208,22698
0,15,0.3967823560412595,0.9385616388288385,0.4437512317490428,208,22698
0,16,0.38816209595630724,0.9367955753887305,0.43504242319814124,208,22698
0,17,0.3797419512702205,0.9350641435901456,0.4265354637527919,208,22698
0,18,0.37151701463282677,0.9333665410205225,0.41822540592202156,208,22698
0,19,0.3634825044808528,0.9317019849295997,0.4101074289850688,208,22698
0,20,0.35563376169716876,0.9300697117257247,0.402176835625442,208,22698
0,21,0.3479662463613343,0.9284689764855348,0.3944290486569471,208,22698
0,22,0.3404755345888939,0.9268990524766412,0.3868596078391159,208,22698
0,23,0.3331573154569377,0.9253592306929659,0.37946416677953126,208,22698
0,24,0.32600738801351953,0.9238488194023856,0.3722384899206259,208,22698
0,26,0.31219613686416386,0.9209135451110995,0.35828002324212016,208,22698
0,27,0.30552693532152947,0.9194873811103266,0.3515392904987148,208,22698
0,28,0.29901026436332295,0.9180880247787002,0.34495243063646824,208,22698
0,30,0.2864198351375299,0.9153673029629814,0.33222552881256856,208,22698
0,31,0.28033896902774064,0.9140447580240231,0.3260783200002996,208,22698
0,33,0.26858883385425475,0.9114724574522007,0.31419914439555086,208,22698
0,34,0.2629129828615437,0.9102216056749092,0.3084605408322054,208,22698
0,36,0.2519438774994306,0.9077878569456407,0.297369333423918,208,22698
0,38,0.24146470733724087,0.9054413383312908,0.2867724297479467,208,22698
0,39,0.23640155931067228,0.9042995694348808,0.28165199207871217,208,22698
0,41,0.22661419519211493,0.9020766720433353,0.27175308580106244,208,22698
0,43,0.2172609582011241,0.8999316370440893,0.26229220647241874,208,22698
0,45,0.20832143378884482,0.897861022659861,0.2532487673295547,208,22698
0,48,0.19564566714625387,0.8948875066038618,0.24042376092917603,208,22698
0,50,0.1876575933839293,0.8929889270795197,0.23234039008693916,208,22698
0,52,0.1800193801516494,0.8911539434008,0.22461006572307418,208,22698
0,55,0.16918267314255236,0.8885146760595358,0.21364086371742744,208,22698
0,58,0.15904512301970525,0.886003459393441,0.20337723434686084,208,22698
0,60,0.15265138789259744,0.8843963704729935,0.19690280632408116,208,22698
0,63,0.14357441264817386,0.8820805800246471,0.1877095443573853,208,22698
0,66,0.13507644344062872,0.8798721438935386,0.1791006684031049,208,22698
0,70,0.12457905163130539,0.8770828516604344,0.16846318388084144,208,22698
0,73,0.11728424475159314,0.8750992106248724,0.16106873731269494,208,22698
0,77,0.10826597681259596,0.8725877877166706,0.15192430536307303,208,22698
0,80,0.10199405631694164,0.8707973746440536,0.1455624321560277,208,22698
0,84,0.09423423537981279,0.8685249983931448,0.1376884325555595,208,22698
0,89,0.08541885182654603,0.865854110278772,0.12873882991362548,208,22698
0,93,0.07900771293497937,0.8638412077074596,0.12222652546219491,208,22698
0,97,0.07311325598048601,0.8619287842057077,0.1162359433972884,208,22698
0,102,0.06640452969054517,0.8596673893541084,0.10941353973759044,208,22698
0,107,0.060356095902116776,0.8575363128695884,0.10325796822985295,208,22698
0,112,0.054898691251731455,0.8555228610156763,0.09769932976339671,208,22698
0,118,0.04904373860094355,0.8532460630990326,0.09172989225700678,208,22698
0,124,0.043857871480823624,0.8511049142809403,0.08643635227798374,208,22698
