figure,label,seed,n,m,d,weight_decay,nu2,eta,t1,t2,grokking_delay,population_loss_after_fit,population_loss_late,limiting_train_loss,limiting_pop_loss,initial_train_loss,initial_pop_loss,final_train_loss,final_pop_loss
fig3_random_features,lambda_large,2,100,2000,100,0.0001,1,1,468,18587,18119,0.24901910153887558,0.0023363214382401457,2.5223302609466742e-08,0.002336321350481727,,,,
fig3_random_features,lambda_large,3,100,2000,100,0.0001,1,1,517,15300,14783,0.20739076465023268,0.0001690984105339242,2.1027309981307587e-08,0.0001690984243335564,,,,
fig3_random_features,lambda_large,4,100,2000,100,0.0001,1,1,398,15346,14948,0.2072601841105415,0.0011930081976575554,1.896079550699771e-08,0.0011930085910727233,,,,
fig3_random_features,lambda_large,5,100,2000,100,0.0001,1,1,417,15538,15121,0.16596742576449477,0.0018734886654434887,1.9851816138908214e-08,0.0018734883648172038,,,,
fig3_random_features,n_small,0,50,2000,100,1.0000000000000001e-05,1,1,208,167843,167635,0.2620319609321455,0.0008730866547214841,5.91597864008978e-11,0.0008730866070814496,,,,
fig3_random_features,n_small,1,50,2000,100,1.0000000000000001e-05,1,1,231,166756,166525,0.24407926766840823,0.0006389627117548319,8.1930491062165e-11,0.0006389624356995696,,,,
fig3_random_features,n_small,2,50,2000,100,1.0000000000000001e-05,1,1,207,185919,185712,0.31713344214623523,0.0011497858970201391,6.378941008295727e-11,0.0011497858131918196,,,,
fig3_random_features,n_small,3,50,2000,100,1.0000000000000001e-05,1,1,237,168876,168639,0.2964024026156356,0.00016688781943009344,4.7980352948158945e-11,0.00016688789108028972,,,,
fig3_random_features,n_small,4,50,2000,100,1.0000000000000001e-05,1,1,211,173175,172964,0.3027601884007916,0.0005979814695911377,5.4200531294651564e-11,0.0005979814427549089,,,,
fig3_random_features,n_small,5,50,2000,100,1.0000000000000001e-05,1,1,231,163826,163595,0.22587342178372846,0.0008082642329201289,5.883684133188177e-11,0.0008082637856181607,,,,
fig3_random_features,n_large,0,200,2000,100,1.0000000000000001e-05,1,1,1198,146672,145474,0.12997758367721343,0.00371599265823521,9.299879135300877e-10,0.003715993489146082,,,,
fig3_random_features,n_large,1,200,2000,100,1.0000000000000001e-05,1,1,942,143627,142685,0.14020273700381652,0.0031668353278774823,1.0888122565236625e-09,0.0031668354523893337,,,,
fig3_random_features,n_large,2,200,2000,100,1.0000000000000001e-05,1,1,1181,178351,177170,0.17640934071006903,0.004406109073382521,9.868358349274716e-10,0.00440610895866953,,,,
fig3_random_features,n_large,3,200,2000,100,1.0000000000000001e-05,1,1,1071,131843,130772,0.13949104485993558,0.00023318041103769814,8.935995540160479e-10,0.00023318100662193624,,,,
fig3_random_features,n_large,4,200,2000,100,1.0000000000000001e-05,1,1,850,138771,137921,0.14959331574286439,0.0026312414604026295,8.378471013532848e-10,0.0026312456928773054,,,,
fig3_random_features,n_large,5,200,2000,100,1.0000000000000001e-05,1,1,1044,150462,149418,0.12355957689678171,0.004752478492952009,9.151315509674829e-10,0.004752478999290139,,,,
fig3_random_features,nu2_small,0,100,2000,100,1.0000000000000001e-05,0.10000000000000001,1,570,32261,31691,0.027698668457528743,4.599459437972862e-05,2.1984341627026658e-10,1.645672982850353e-05,,,,
fig3_random_features,nu2_small,1,100,2000,100,1.0000000000000001e-05,0.10000000000000001,1,405,31328,30923,0.028382634510276665,5.626043835261838e-05,2.5706883115353576e-10,1.5918817907042464e-05,,,,
fig3_random_features,nu2_small,2,100,2000,100,1.0000000000000001e-05,0.10000000000000001,1,217,46152,45935,0.034537419293231314,2.4580591627079858e-05,2.5223302609466745e-10,2.082175321823397e-05,,,,
fig3_random_features,nu2_small,3,100,2000,100,1.0000000000000001e-05,0.10000000000000001,1,776,37006,36230,0.03095555688475795,2.640517439611188e-05,2.1027309981307643e-10,1.4817862891429117e-05,,,,
fig3_random_features,nu2_small,4,100,2000,100,1.0000000000000001e-05,0.10000000000000001,1,397,34050,33653,0.03140630184297544,3.294050101791924e-05,1.8960795506997772e-10,1.346274689405724e-05,,,,
fig3_random_features,nu2_small,5,100,2000,100,1.0000000000000001e-05,0.10000000000000001,1,614,27898,27284,0.022953724911232223,8.200798385902221e-05,1.9851816138908526e-10,1.4780809250864901e-05,,,,
fig3_random_features,nu2_large,0,100,2000,100,1.0000000000000001e-05,10,1,245,,,2.1237364806973362,,2.453349002750469e-10,0.2219531016771756,,,,
fig3_random_features,nu2_large,1,100,2000,100,1.0000000000000001e-05,10,1,222,,,2.192655527029608,,2.817561921717728e-10,0.17599664526249897,,,,
fig3_random_features,nu2_large,2,100,2000,100,1.0000000000000001e-05,10,1,269,,,3.2028018830100016,,2.755890596818914e-10,0.31583373613077265,,,,
fig3_random_features,nu2_large,3,100,2000,100,1.0000000000000001e-05,10,1,233,,,2.155508262501044,,2.3124550825539767e-10,0.010233039383695046,,,,
fig3_random_features,nu2_large,4,100,2000,100,1.0000000000000001e-05,10,1,200,,,2.147064128761583,,2.1229361910435682e-10,0.17455731381551579,,,,
fig3_random_features,nu2_large,5,100,2000,100,1.0000000000000001e-05,10,1,231,,,2.0562207092734095,,2.1814930416507103e-10,0.2801500210748272,,,,
fig4_two_layer,default,0,50,1000,50,0.050000000000000003,1,0.01,500,2000,1500,0.028701359374120796,,,,0.4917446610390044,0.4737489457748364,1.4502900308332416e-15,0.0038823528972742366
fig4_two_layer,default,1,50,1000,50,0.050000000000000003,1,0.01,500,2000,1500,0.03085071150509183,,,,0.30655946029303854,0.3762684789799238,7.827112772679456e-16,0.00417309812019888
fig4_two_layer,lambda_small,0,50,1000,50,0.01,1,0.01,500,8000,7500,0.14222646441794756,,,,0.4917446610390044,0.4737489457748364,5.565275500860729e-33,0.008647588879294042
fig4_two_layer,lambda_small,1,50,1000,50,0.01,1,0.01,500,8000,7500,0.15287773025270504,,,,0.30655946029303854,0.3762684789799238,6.458666253813358e-33,0.009295202676365593
fig4_two_layer,lambda_large,0,50,1000,50,0.10000000000000001,1,0.01,500,1000,500,0.0038787047920366417,,,,0.4917446610390044,0.4737489457748364,3.403833191770482e-10,0.0038787047920366417
fig4_two_layer,lambda_large,1,50,1000,50,0.10000000000000001,1,0.01,500,1000,500,0.004169008301072222,,,,0.30655946029303854,0.3762684789799238,1.2595867315496164e-10,0.004169008301072222
fig4_two_layer,n_small,0,25,1000,50,0.050000000000000003,1,0.01,500,2000,1500,0.030451003928596863,,,,0.2703713980055434,0.3362588070485857,1.7287929589859737e-33,0.004119034522182791
fig4_two_layer,n_small,1,25,1000,50,0.050000000000000003,1,0.01,500,2000,1500,0.0552487171395743,,,,0.6131868927269372,0.420440704102641,1.9259374675510813e-33,0.007473361920606717
fig4_two_layer,n_large,0,100,1000,50,0.050000000000000003,1,0.01,500,1500,1000,0.015793560682799846,,,,0.41227994860543954,0.3612411839930626,3.556014648670693e-08,0.005809203991364337
fig4_two_layer,n_large,1,100,1000,50,0.050000000000000003,1,0.01,500,1500,1000,0.017111263397241176,,,,0.8202363829606183,0.8000257221621034,1.3628818821246744e-08,0.006294944636102352
